Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Mfr,Mfr P/N,Supplier_1,Supplier_1 P/N,Supplier_1 Unit Price,Supplier_1 Price @ Qty
"C1, C16",2,220pF,C_0603_1608Metric,,,,smt,CAP CER 220PF 100V C0G/NP0 0603,Murata Electronics,GCM1885C2A221FA16J,Digikey,490-GCM1885C2A221FA16JTR-ND,0.14000,1
"C10, C11, C12, C15, C17, C3, C5, C55, C7",9,100nF,C_0603_1608Metric,,,,smt,CAP CER 0.1UF 50V X7R 0603,KYOCERA AVX,06035C104K4T2A,Digikey,478-KAM15AR71H104KTTR-ND,0.10000,1
"C13, C14, C18, C6, C9",5,10uF,C_0805_2012Metric,,,,smt,CAP CER 10UF 50V X5R 0805,Murata Electronics,GRM21BR61H106KE43L,Digikey,490-18663-2-ND,0.28000,1
C2,1,3.3nF,C_0603_1608Metric,,,,smt,CAP CER 3300PF 50V C0G/NP0 0603,Murata Electronics,GCM1885C1H332FA16D,Digikey,490-GCM1885C1H332FA16DTR-ND,0.17000,1
C4,1,2.2uF,C_0603_1608Metric,,,,smt,CAP CER 2.2UF 50V X5R 0603,Murata Electronics,GRT188R61H225KE13D,Digikey,490-12332-2-ND,0.27000,1
C8,1,33uF,CP_Elec_6.3x5.8,,,,smt,CAP ALUM HYBRID 33UF 20% 50V SMD,Nichicon,GYA1H330MCQ1GS,Digikey,493-16369-2-ND,1.06000,1
FB1,1,FerriteBead,C_2220_5750Metric,,,,smt,FERRITE BEAD 700 OHM 2220 1LN,Laird-Signal Integrity Products,HR2220V701R-10,Digikey,240-HR2220V701R-10TR-ND,2.57000,1
FB2,1,74279252,L_1812_4532Metric,,,,smt,FERRITE BEAD 880 OHM 1812 1LN,Würth Elektronik,74279252,Digikey,732-13782-2-ND,0.30000,1
L1,1,33uH,IND_SER2918H-333KL,,,,smt,Inductor with ferrite core,Coilcraft,SER2918H-333KL,Digikey,2457-SER2918H-333KL-ND,6.98000,1
R1,1,31.6k,R_0603_1608Metric,,,,smt,RES SMD 31.6KOHM 0.1% 1/10W 0603,Susumu,RG1608P-3162-B-T5,Digikey,RG16P31.6KBTR-ND,0.10000,1
R2,1,60.4k,R_0603_1608Metric,,,,smt,RES 60.4K OHM 0.1% 1/10W 0603,"KOA Speer Electronics, Inc.",RN73H1JTTD6042B25,Digikey,2019-RN73H1JTTD6042B25TR-ND,0.10000,1
R3,1,33.6k,R_0603_1608Metric,,,,smt,RES 33.6K OHM 0.1% 1/10W 0603,"KOA Speer Electronics, Inc.",RN73R1JTTD3362B25,Digikey,2019-RN73R1JTTD3362B25TR-ND,0.04314,1
R4,1,15k,R_0603_1608Metric,,,,smt,RES SMD 15K OHM 0.1% 1/10W 0603,Panasonic Electronic Components,ERA-3AEB153V,Digikey,P15KDBTR-ND,0.10000,1
R5,1,274k,R_0603_1608Metric,,,,smt,RES SMD 274K OHM 0.1% 1/10W 0603,Panasonic Electronic Components,ERA-3AEB2743V,Digikey,P274KDBTR-ND,0.10000,1
U1,1,LT8342RV-TRMPBF,05-08-7040_ADI,,,,smt,IC REG CTRLR BOOST 24-LQFN,Analog Devices Inc.,LT8342RV#TRPBF,Digikey,505-LT8342RV#TRPBFTR-ND,11.03000,1
U11,1,PINA745AIRELR,REL0014A_PINA745AIRELR_TEX,,,,smt,"40V, 16BIT HIGH-PRECISION I2C OU",Texas Instruments,INA745AIRELR,Texas Instruments,1,2.044,1
U2,1,AD5259BRMZ100,RM_10_ADI,,,,smt,IC DGT POT 100KOHM 256TAP 10MSOP,Analog Devices Inc.,AD5259BRMZ100-R7,Digikey,AD5259BRMZ100-R7TR-ND,4.45000,1
