Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"C56, C61, C64, C69",0603,4,100pF,
"C57, C65",0603,2,10pF,
"C58, C66",0603,2,0.22uF,
"C59, C67",0603,2,4.7nF,
"C60, C68",0603,2,22pF,
"C62, C70",0805,2,22nF,
"C63, C71",0603,2,100nF,
"D10, D13, D14, D9",D_SMB,4,TPSMB28CA-VR,
"D11, D12, D15, D16",D_SOD-123,4,BAT46GWJ,
"Q3, Q4",LFPAK56_1,2,PSMN020-100YS,
"Q42, Q44",TSOT-23,2,2N7002 TR PBFREE,
"R110, R111, R45, R46, R58, R59",0603,6,33k,
"R115, R116",0603,2,8.16k,
"R39, R41, R52, R54",0603,4,1Meg,
"R40, R53",0603,2,36k,
"R42, R55",0603,2,67.3k,
"R43, R56",0603,2,150,
"R44, R57",0603,2,240k,
"R47, R60",0603,2,5.49k,
"R48, R61",0603,2,2k,
"R49, R62",0603,2,44.8k,
"R50, R63",1206,2,10,
"R51, R64",0603,2,100,
"TP11_2, TP11, TP12, TP9",TestPoint_Plated_Hole_D5.0mm,4,BATT2_DRV_RTN,
"TP14, TP15, TP24, TP25",TestPoint_Plated_Hole_D5.0mm,4,TP_PGOOD,
"TP19, TP20",TestPoint_Plated_Hole_D5.0mm,2,TP_FLTn,
TP7,TestPoint_Plated_Hole_D5.0mm,1,BATT1_DRV_TP,
TP8,TestPoint_Plated_Hole_D5.0mm,1,BATT1_RTN_TP,
"U12, U14",VMA0023A-MFG,2,TPS16851VMAR,
"U13, U15",TSOT-23-6,2,LM5050-1,
