Designator,Mid X,Mid Y,Rotation,Layer
A1,121.915,-65.5,90.0,top
C1,129.9,-87.9,270.0,top
C10,146.2,-95.35,180.0,top
C11,149.75,-90.45,90.0,top
C12,149.75,-93.55,270.0,top
C13,151.55,-90.25,270.0,top
C14,151.55,-93.75,90.0,top
C15,160.1375,-94.0,270.0,top
C16,160.1375,-90.0,270.0,top
C17,152.893843,-79.1,90.0,top
C18,155.493843,-81.8,0.0,top
C2,144.35,-87.15,90.0,top
C3,142.75,-87.15,270.0,top
C4,141.15,-87.15,270.0,top
C5,131.5,-87.9,270.0,top
C54,125.4,-89.5478,0.0,top
C6,131.4,-97.3,90.0,top
C7,142.25,-93.95,90.0,top
C8,136.6,-84.7,270.0,top
C9,142.25,-90.65,270.0,top
FB1,134.0,-92.5,0.0,top
FB2,156.1375,-92.0,0.0,top
L1,146.75,-103.5553,90.0,top
R1,147.55,-87.15,270.0,top
R2,145.95,-87.15,270.0,top
R3,149.15,-87.15,270.0,top
R4,157.4,-89.2,0.0,top
R5,151.293843,-79.1,90.0,top
R6,133.4,-52.3,270.0,top
R7,135.9,-52.3,90.0,top
TP7_BOOST_FB1,166.5,-130.0,0.0,top
TP9_BOOST_EN1,147.0,-130.0,0.0,top
TP_BOOST_PGOOD1,127.0,-130.0,0.0,top
TP_GND1,147.0,-137.0,0.0,top
U1,146.25,-91.75,90.0,top
U10,126.5,-92.6,90.0,top
U2,151.793843,-84.0,90.0,top
